X	Y	Z	INT_TOP
-20.8277	-0.561812	8.05378	2.14844
-20.8277	-0.551812	8.05336	2.41699
-20.8276	-0.541839	8.05351	2.53906
-20.8276	-0.531889	8.05309	2.80762
-20.8276	-0.521912	8.05347	3.90625
-20.8276	-0.511939	8.05337	3.10059
-20.8275	-0.501962	8.05307	2.44141
-20.8275	-0.491989	8.05221	2.53906
-20.8276	-0.482012	8.05183	3.85742
-20.8275	-0.471986	8.05252	1.68457
-20.8275	-0.461936	8.05238	2.27051
-20.8274	-0.451886	8.05246	2.80762
-20.8274	-0.441889	8.05192	2.80762
-20.8274	-0.431912	8.05235	2.24609
-20.8274	-0.421939	8.05235	2.85645
-20.8274	-0.411962	8.05215	3.19824
-20.8274	-0.401936	8.05166	2.66113
-20.8274	-0.391886	8.05178	2.83203
-20.8274	-0.381862	8.05202	3.54004
-20.8274	-0.371836	8.05186	3.34473
-20.8274	-0.361839	8.05082	3.24707
-20.8274	-0.351836	8.05121	3.39355
-20.8275	-0.341786	8.05086	2.53906
-20.8275	-0.331762	8.05137	2.83203
-20.8276	-0.321736	8.05077	2.68555
-20.8276	-0.311739	8.05059	3.58887
-20.8277	-0.301736	8.04943	2.73438
-20.8277	-0.291739	8.0493	2.58789
-20.8277	-0.281762	8.04976	2.53906
-20.8278	-0.271762	8.05059	3.90625
-20.8278	-0.261762	8.05105	3.36914
-20.8278	-0.251789	8.0507	4.1748
-20.8279	-0.241812	8.04931	2.90527
-20.8279	-0.231812	8.04846	2.66113
-20.8279	-0.221786	8.04913	2.34375
-20.8278	-0.211789	8.04951	3.34473
-20.8278	-0.201812	8.04861	3.71094
-20.8278	-0.191812	8.04952	3.88184
-20.8277	-0.181812	8.04976	4.44336
-20.8277	-0.171812	8.04944	2.27051
-20.8277	-0.161812	8.04838	3.41797
-20.8277	-0.151812	8.04808	1.48926
-20.8277	-0.141839	8.04752	1.36719
-20.8277	-0.131862	8.04845	2.97852
-20.8277	-0.121889	8.04843	2.9541
-20.8277	-0.111939	8.04878	2.66113
-20.8277	-0.101936	8.04745	2.46582
-20.8277	-0.0919124	8.04884	4.73633
-20.8277	-0.0819124	8.04849	3.88184
-20.8277	-0.0718863	8.04772	2.9541
-20.8277	-0.0618363	8.0472	2.12402
-20.8277	-0.0518386	8.04765	2.83203
-20.8277	-0.0418624	8.04757	3.17383
-20.8277	-0.0318886	8.04714	2.29492
-20.8277	-0.0219386	8.04701	2.39258
-20.8277	-0.0119624	8.04736	4.19922
-20.8277	-0.00196244	8.04734	3.71094
-20.8277	0.00803756	8.04634	3.85742
-20.8277	0.0180637	8.04685	3.44238
-20.8276	0.0281137	8.0471	1.02539
-20.8276	0.0381114	8.04632	2.31934
-20.8277	0.0480876	8.04659	2.75879
-20.8276	0.0580876	8.04679	2.49023
-20.8276	0.0680614	8.04642	2.7832
-20.8275	0.0780376	8.04567	2.19727
-20.8275	0.0880376	8.04568	2.27051
-20.8274	0.0980637	8.04536	1.7334
-20.8274	0.108088	8.04568	1.68457
-20.8273	0.118114	8.04589	2.73438
-20.8273	0.128138	8.04427	2.70996
-20.8272	0.138164	8.04387	2.53906
-20.8272	0.148214	8.0444	2.09961
-20.8272	0.158264	8.04509	3.34473
-20.8272	0.168314	8.0458	1.78223
-20.8272	0.178311	8.04466	2.22168
-20.8272	0.188288	8.04436	2.53906
-20.8272	0.198288	8.04462	3.71094
-20.8272	0.208261	8.04392	2.29492
-20.8273	0.218238	8.04415	1.61133
-20.8274	0.228238	8.04375	3.05176
-20.8274	0.238238	8.04275	2.31934
-20.8275	0.248211	8.04212	2.00195
-20.8275	0.258214	8.0433	2.80762
-20.8275	0.268238	8.04289	2.58789
-20.8275	0.278211	8.0421	2.24609
-20.8276	0.288214	8.04175	2.0752
-20.8276	0.298211	8.04157	3.10059
-20.8277	0.308161	8.04257	3.24707
-20.8277	0.318138	8.04285	2.92969
-20.8277	0.328138	8.04242	2.70996
-20.8277	0.338138	8.04244	2.36816
-20.8278	0.348111	8.04291	2.75879
-20.8278	0.358061	8.04077	0.976563
-20.8278	0.368038	8.04211	1.12305
-20.8278	0.378064	8.04238	2.70996
-20.8278	0.388114	8.04208	1.95313
-20.8278	0.398164	8.04162	1.14746
-20.8277	0.40824	8.04156	3.22266
-20.8277	0.418314	8.04145	1.63574
-20.8278	0.428364	8.04015	2.56348
-20.8278	0.43844	8.04083	1.51367
-20.8278	0.44854	8.0419	1.9043
-20.8278	0.458614	8.04166	1.17188
-20.8278	0.468664	8.04261	1.07422
-20.8278	0.478661	8.04167	1.0498
-20.8278	0.488638	8.04129	1.46484
-20.8278	0.498585	8.04222	1.29395
-20.8278	0.508511	8.04236	1.09863
-20.8278	0.518409	8.04149	1.24512
-20.8278	0.528311	8.0405	1.36719
-20.8278	0.538235	8.04038	1.78223
-20.8279	0.548135	8.04016	1.95313
-20.8279	0.558035	8.03953	1.48926
-20.8279	0.567961	8.03887	1.83105
-20.8278	0.577938	8.03919	1.97754
-20.8277	0.587938	8.03986	1.97754
-20.8277	0.597938	8.03947	1.78223
-20.8277	0.607938	8.03949	1.3916
-20.8276	0.617938	8.03932	1.85547
-20.8276	0.627964	8.03914	2.0752
-20.8276	0.638014	8.0389	1.46484
-20.8275	0.648038	8.03879	1.53809
-20.8275	0.658038	8.03879	1.3916
-20.8274	0.668038	8.03893	2.00195
-20.8274	0.678064	8.03868	1.87988
-20.8274	0.688114	8.03831	1.46484
-20.8274	0.698138	8.03801	2.46582
-20.8274	0.708138	8.03722	2.88086
-20.8274	0.718138	8.0374	1.78223
-20.8274	0.728164	8.03698	1.80664
-20.8274	0.738188	8.03809	1.78223
-20.8274	0.74824	8.03867	1.9043
-20.8274	0.758288	8.03762	1.95313
-20.8274	0.768288	8.03724	2.53906
-20.8274	0.778288	8.03702	2.34375
-20.8275	0.788314	8.037	2.36816
-20.8275	0.798338	8.03704	3.07617
-20.8275	0.808364	8.03714	1.97754
-20.8275	0.818414	8.03705	0.439453
-20.8275	0.828438	8.03723	2.80762
-20.8275	0.838438	8.03667	2.7832
-20.8276	0.848438	8.03663	3.17383
-20.8276	0.858464	8.03661	2.73438
-20.8275	0.868488	8.03649	1.68457
-20.8275	0.878461	8.03602	2.36816
-20.8275	0.888411	8.03446	2.56348
-20.8275	0.898361	8.03432	2.02637
-20.8275	0.908311	8.03597	3.85742
-20.8275	0.918288	8.03548	2.49023
-20.8275	0.928261	8.03445	4.32129
-20.8275	0.938211	8.03512	2.73438
-20.8275	0.948188	8.03558	2.09961
-20.8275	0.958214	8.03554	3.22266
-20.8275	0.968238	8.0359	2.7832
-20.8275	0.978238	8.03587	2.17285
-20.8275	0.988238	8.03535	1.85547
-20.8275	0.998264	8.03631	2.27051
-20.8276	1.00829	8.03637	0.634766
-20.8276	1.01829	8.03566	1.26953
-20.8277	1.02829	8.03586	1.95313
-20.8277	1.03829	8.03489	1.97754
-20.8278	1.04826	8.035	1.26953
-20.8278	1.05826	8.03473	1.53809
-20.8278	1.06829	8.03471	1.87988
-20.8279	1.07829	8.03393	2.41699
-20.8279	1.08826	8.03401	1.48926
-20.8278	1.09824	8.0342	1.44043
-20.8278	1.10821	8.03447	1.9043
-20.8278	1.11816	8.03404	2.05078
-20.8278	1.12814	8.03425	1.80664
-20.8278	1.13816	8.03377	2.14844
-20.8278	1.14819	8.03366	2.83203
-20.8278	1.15819	8.03373	3.22266
-20.8278	1.16819	8.03384	2.53906
-20.8277	1.17816	8.03334	0.854492
-20.8277	1.18809	8.03331	1.41602
-20.8277	1.19804	8.03316	3.27148
-20.8276	1.20804	8.03201	1.31836
-20.8276	1.21804	8.03273	1.7334
-20.8276	1.22806	8.03248	2.27051
-20.8276	1.23811	8.03206	2.41699
-20.8276	1.24814	8.03191	2.36816
-20.8276	1.25816	8.03232	2.7832
-20.8276	1.26819	8.0318	2.39258
-20.8276	1.27819	8.03177	2.68555
-20.8276	1.28819	8.03155	2.85645
-20.8276	1.29821	8.03073	0.927734
-20.8276	1.30824	8.03048	1.80664
-20.8276	1.31824	8.03096	2.92969
-20.8276	1.32821	8.03145	2.53906
-20.8276	1.33819	8.03144	3.07617
-20.8276	1.34816	8.03076	2.0752
-20.8276	1.35814	8.03084	2.27051
-20.8276	1.36814	8.03061	2.85645
-20.8276	1.37814	8.02968	2.63672
-20.8276	1.38811	8.02947	2.88086
-20.8276	1.39809	8.02877	2.41699
-20.8276	1.40809	8.02891	2.14844
-20.8276	1.41809	8.02898	2.36816
-20.8276	1.42814	8.02903	2.27051
-20.8276	1.43824	8.02826	2.12402
-20.8276	1.44831	8.02889	2.56348
-20.8276	1.45839	8.02895	2.88086
-20.8276	1.46844	8.02857	2.41699
-20.8276	1.47841	8.02936	2.49023
-20.8276	1.48834	8.029	2.7832
-20.8276	1.49826	8.02911	2.90527
-20.8276	1.50819	8.02936	3.58887
-20.8276	1.51809	8.02963	4.15039
-20.8276	1.52801	8.02925	3.58887
-20.8276	1.53799	8.02913	5.39551
-20.8276	1.54799	8.029	4.19922
-20.8276	1.55801	8.02827	3.83301
-20.8276	1.56806	8.02848	3.83301
-20.8276	1.57811	8.02866	3.90625
-20.8276	1.58814	8.02762	3.49121
-20.8276	1.59816	8.02797	2.66113
-20.8277	1.60824	8.02807	2.68555
-20.8277	1.61831	8.02802	3.68652
-20.8277	1.62834	8.02768	2.97852
-20.8277	1.63836	8.02749	3.27148
-20.8277	1.64841	8.02746	3.36914
-20.8277	1.65844	8.02721	3.49121
-20.8277	1.66844	8.02681	2.6123
-20.8277	1.67844	8.02712	3.56445
-20.8277	1.68844	8.02703	4.61426
-20.8277	1.69844	8.02707	3.66211
-20.8276	1.70844	8.02699	3.78418
-20.8276	1.71844	8.02654	3.85742
-20.8276	1.72841	8.02664	1.92871
-20.8276	1.73836	8.02677	2.31934
-20.8275	1.74834	8.02571	1.66016
-20.8275	1.75829	8.02567	2.17285
-20.8276	1.76824	8.0252	2.75879
-20.8276	1.77824	8.02536	3.07617
-20.8275	1.78824	8.02545	3.32031
-20.8275	1.79824	8.02494	3.68652
-20.8275	1.80826	8.02477	2.51465
-20.8275	1.81831	8.02495	2.90527
-20.8275	1.82834	8.02488	2.90527
-20.8276	1.83834	8.02469	2.53906
-20.8276	1.84831	8.02438	2.6123
-20.8276	1.85829	8.02382	2.63672
-20.8276	1.86826	8.02421	2.97852
-20.8276	1.87821	8.02452	3.07617
-20.8276	1.88819	8.02452	3.17383
-20.8276	1.89816	8.02441	3.4668
-20.8277	1.90814	8.02438	2.73438
-20.8277	1.91814	8.02371	3.02734
-20.8277	1.92811	8.02295	2.83203
-20.8277	1.93811	8.02305	2.88086
-20.8276	1.94814	8.02406	3.34473
-20.8276	1.95814	8.02371	4.05273
-20.8276	1.96816	8.02387	3.22266
-20.8276	1.97819	8.02333	2.75879
-20.8276	1.98821	8.02352	4.12598
-20.8276	1.99824	8.02367	3.88184
-20.8276	2.00829	8.02272	3.22266
-20.8276	2.01834	8.02282	1.87988
-20.8276	2.02831	8.02308	2.90527
